"","annotation"
"K1.MAA001632.3_56_F.1.1","Goblet Cell 2"
"L3.MAA001632.3_56_F.1.1","Goblet Cell 2"
"M7.MAA001632.3_56_F.1.1","Goblet Cell 2"
"N11.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"O14.MAA001632.3_56_F.1.1","Enterocyte 1"
"P16.MAA001632.3_56_F.1.1","Enterocyte 1"
"A15.MAA001632.3_56_F.1.1","Enterocyte 1"
"B18.MAA001632.3_56_F.1.1","Enterocyte 1"
"C22.MAA001632.3_56_F.1.1","Enterocyte 1"
"E4.MAA001632.3_56_F.1.1","Amplifying Cell"
"A16.MAA001632.3_56_F.1.1","Enterocyte 1"
"L4.MAA001632.3_56_F.1.1","Amplifying Cell"
"M8.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"N12.MAA001632.3_56_F.1.1","Goblet Cell 2"
"O15.MAA001632.3_56_F.1.1","Enterocyte 1"
"P17.MAA001632.3_56_F.1.1","Enterocyte 1"
"A17.MAA001632.3_56_F.1.1","Amplifying Cell"
"B20.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"D2.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"B19.MAA001632.3_56_F.1.1","Amplifying Cell"
"E6.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"F9.MAA001632.3_56_F.1.1","Goblet Cell 2"
"G11.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"D1.MAA001632.3_56_F.1.1","Amplifying Cell"
"E5.MAA001632.3_56_F.1.1","Goblet Cell 2"
"F8.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"G10.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"H14.MAA001632.3_56_F.1.1","Enterocyte 1"
"I19.MAA001632.3_56_F.1.1","Enterocyte 1"
"K2.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"H15.MAA001632.3_56_F.1.1","Enterocyte 1"
"A18.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"B21.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"D3.MAA001632.3_56_F.1.1","Goblet Cell 2"
"E7.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"F10.MAA001632.3_56_F.1.1","Amplifying Cell"
"G12.MAA001632.3_56_F.1.1","Goblet Cell 2"
"H16.MAA001632.3_56_F.1.1","Enterocyte 1"
"I20.MAA001632.3_56_F.1.1","Goblet Cell 2"
"I21.MAA001632.3_56_F.1.1","Goblet Cell 2"
"K4.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"L6.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"K3.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"L5.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"M9.MAA001632.3_56_F.1.1","Amplifying Cell"
"N13.MAA001632.3_56_F.1.1","Enterocyte 1"
"O16.MAA001632.3_56_F.1.1","Enterocyte 1"
"P18.MAA001632.3_56_F.1.1","Goblet Cell 2"
"M10.MAA001632.3_56_F.1.1","Amplifying Cell"
"E8.MAA001632.3_56_F.1.1","Goblet Cell 2"
"F11.MAA001632.3_56_F.1.1","Amplifying Cell"
"G13.MAA001632.3_56_F.1.1","Enterocyte 1"
"H17.MAA001632.3_56_F.1.1","Enterocyte 1"
"J1.MAA001632.3_56_F.1.1","Goblet Cell 2"
"K5.MAA001632.3_56_F.1.1","Goblet Cell 2"
"L7.MAA001632.3_56_F.1.1","Goblet Cell 2"
"M11.MAA001632.3_56_F.1.1","Amplifying Cell"
"N15.MAA001632.3_56_F.1.1","Enterocyte 1"
"O18.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"N14.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"P20.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"O17.MAA001632.3_56_F.1.1","Enterocyte 1"
"P19.MAA001632.3_56_F.1.1","Amplifying Cell"
"A19.MAA001632.3_56_F.1.1","Tuft Cell"
"B22.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"D4.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"J2.MAA001632.3_56_F.1.1","Goblet Cell 2"
"K6.MAA001632.3_56_F.1.1","Goblet Cell 2"
"L8.MAA001632.3_56_F.1.1","Goblet Cell 2"
"M12.MAA001632.3_56_F.1.1","Goblet Cell 2"
"N16.MAA001632.3_56_F.1.1","Enterocyte 1"
"O19.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"P21.MAA001632.3_56_F.1.1","Amplifying Cell"
"A22.MAA001632.3_56_F.1.1","Enterocyte 1"
"C2.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"D6.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"A21.MAA001632.3_56_F.1.1","Enterocyte 1"
"C1.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"D5.MAA001632.3_56_F.1.1","Goblet Cell 2"
"E9.MAA001632.3_56_F.1.1","Amplifying Cell"
"F12.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"G14.MAA001632.3_56_F.1.1","Enterocyte 1"
"H18.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"E10.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"O20.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"P22.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"B1.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"C3.MAA001632.3_56_F.1.1","Goblet Cell 2"
"D7.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"E11.MAA001632.3_56_F.1.1","Goblet Cell 2"
"F14.MAA001632.3_56_F.1.1","Enterocyte 1"
"G16.MAA001632.3_56_F.1.1","Enterocyte 1"
"F13.MAA001632.3_56_F.1.1","Enterocyte 1"
"I1.MAA001632.3_56_F.1.1","Goblet Cell 2"
"J4.MAA001632.3_56_F.1.1","Amplifying Cell"
"K8.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"G15.MAA001632.3_56_F.1.1","Enterocyte 1"
"H19.MAA001632.3_56_F.1.1","Goblet Cell 2"
"J3.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"K7.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"L9.MAA001632.3_56_F.1.1","Goblet Cell 2"
"M13.MAA001632.3_56_F.1.1","Enterocyte 1"
"N17.MAA001632.3_56_F.1.1","Enterocyte 1"
"L10.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"D8.MAA001632.3_56_F.1.1","Amplifying Cell"
"E12.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"F15.MAA001632.3_56_F.1.1","Enterocyte 1"
"G17.MAA001632.3_56_F.1.1","Enterocyte 1"
"I2.MAA001632.3_56_F.1.1","Amplifying Cell"
"J5.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"K9.MAA001632.3_56_F.1.1","Goblet Cell 2"
"L11.MAA001632.3_56_F.1.1","Amplifying Cell"
"M15.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"N19.MAA001632.3_56_F.1.1","Goblet Cell 2"
"M14.MAA001632.3_56_F.1.1","Enterocyte 1"
"O22.MAA001632.3_56_F.1.1","Chromaffin Cell"
"N18.MAA001632.3_56_F.1.1","Tuft Cell"
"O21.MAA001632.3_56_F.1.1","Amplifying Cell"
"B2.MAA001632.3_56_F.1.1","Amplifying Cell"
"C4.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"I3.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"J6.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"K10.MAA001632.3_56_F.1.1","Goblet Cell 2"
"L12.MAA001632.3_56_F.1.1","Amplifying Cell"
"M16.MAA001632.3_56_F.1.1","Enterocyte 1"
"N20.MAA001632.3_56_F.1.1","Amplifying Cell"
"P1.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"B3.MAA001632.3_56_F.1.1","Goblet Cell 2"
"C5.MAA001632.3_56_F.1.1","Amplifying Cell"
"D9.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"E13.MAA001632.3_56_F.1.1","Enterocyte 1"
"F16.MAA001632.3_56_F.1.1","Enterocyte 1"
"G18.MAA001632.3_56_F.1.1","Enterocyte 1"
"B4.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"L14.MAA001632.3_56_F.1.1","Enterocyte 1"
"M18.MAA001632.3_56_F.1.1","Amplifying Cell"
"N21.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"P2.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"B5.MAA001632.3_56_F.1.1","Amplifying Cell"
"C7.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"D11.MAA001632.3_56_F.1.1","Goblet Cell 2"
"C6.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"E15.MAA001632.3_56_F.1.1","Enterocyte 1"
"F18.MAA001632.3_56_F.1.1","Enterocyte 1"
"D10.MAA001632.3_56_F.1.1","Goblet Cell 2"
"E14.MAA001632.3_56_F.1.1","Enterocyte 1"
"F17.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"G19.MAA001632.3_56_F.1.1","Enterocyte 1"
"I4.MAA001632.3_56_F.1.1","Amplifying Cell"
"J7.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"K11.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"G22.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"B6.MAA001632.3_56_F.1.1","Goblet Cell 2"
"C8.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"D12.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"F19.MAA001632.3_56_F.1.1","Enterocyte 1"
"H1.MAA001632.3_56_F.1.1","Goblet Cell 2"
"I6.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"J9.MAA001632.3_56_F.1.1","Goblet Cell 2"
"I5.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"K13.MAA001632.3_56_F.1.1","Enterocyte 1"
"J8.MAA001632.3_56_F.1.1","Goblet Cell 2"
"K12.MAA001632.3_56_F.1.1","Goblet Cell 2"
"L15.MAA001632.3_56_F.1.1","Enterocyte 1"
"M19.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"N22.MAA001632.3_56_F.1.1","Enterocyte 1"
"P3.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"L16.MAA001632.3_56_F.1.1","Amplifying Cell"
"D13.MAA001632.3_56_F.1.1","Enterocyte 1"
"E17.MAA001632.3_56_F.1.1","Undiff. Cell (Batch Effect)"
"F20.MAA001632.3_56_F.1.1","Amplifying Cell"
"H2.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"I7.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"J10.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"K14.MAA001632.3_56_F.1.1","Enterocyte 1"
"L17.MAA001632.3_56_F.1.1","Enterocyte 1"
"M21.MAA001632.3_56_F.1.1","Enterocyte 1"
"O2.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"M20.MAA001632.3_56_F.1.1","Goblet Cell 4"
"P5.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"O1.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"P4.MAA001632.3_56_F.1.1","Amplifying Cell"
"C9.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"K15.MAA001632.3_56_F.1.1","Enterocyte 1"
"L18.MAA001632.3_56_F.1.1","Chromaffin Cell"
"M22.MAA001632.3_56_F.1.1","Amplifying Cell"
"O3.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"P6.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"B8.MAA001632.3_56_F.1.1","Amplifying Cell"
"A6.MAA001632.3_56_F.1.1","Amplifying Cell"
"B9.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"C11.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"C10.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"D14.MAA001632.3_56_F.1.1","Enterocyte 1"
"E18.MAA001632.3_56_F.1.1","Enterocyte 1"
"F21.MAA001632.3_56_F.1.1","Amplifying Cell"
"H3.MAA001632.3_56_F.1.1","Amplifying Cell"
"I8.MAA001632.3_56_F.1.1","Amplifying Cell"
"J11.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"D15.MAA001632.3_56_F.1.1","Enterocyte 1"
"O4.MAA001632.3_56_F.1.1","Goblet Cell 2"
"P7.MAA001632.3_56_F.1.1","Amplifying Cell"
"A7.MAA001632.3_56_F.1.1","Goblet Cell 2"
"B10.MAA001632.3_56_F.1.1","Goblet Cell 2"
"C12.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"D16.MAA001632.3_56_F.1.1","Enterocyte 1"
"E20.MAA001632.3_56_F.1.1","Enterocyte 1"
"E19.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"G1.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"H5.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"I10.MAA001632.3_56_F.1.1","Enterocyte 1"
"F22.MAA001632.3_56_F.1.1","Amplifying Cell"
"H4.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"I9.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"J12.MAA001632.3_56_F.1.1","Goblet Cell 2"
"K16.MAA001632.3_56_F.1.1","Enterocyte 1"
"L20.MAA001632.3_56_F.1.1","Amplifying Cell"
"N1.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"J13.MAA001632.3_56_F.1.1","Enterocyte 1"
"A8.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"B11.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"C14.MAA001632.3_56_F.1.1","Enterocyte 1"
"D17.MAA001632.3_56_F.1.1","Enterocyte 1"
"E21.MAA001632.3_56_F.1.1","Amplifying Cell"
"G2.MAA001632.3_56_F.1.1","Amplifying Cell"
"H6.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"I11.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"J14.MAA001632.3_56_F.1.1","Enterocyte 1"
"K18.MAA001632.3_56_F.1.1","Amplifying Cell"
"K17.MAA001632.3_56_F.1.1","Enterocyte 1"
"L22.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"N3.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"O6.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"L21.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"N2.MAA001632.3_56_F.1.1","Amplifying Cell"
"O5.MAA001632.3_56_F.1.1","Amplifying Cell"
"P8.MAA001632.3_56_F.1.1","Amplifying Cell"
"P9.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"G3.MAA001632.3_56_F.1.1","Goblet Cell 2"
"H7.MAA001632.3_56_F.1.1","Amplifying Cell"
"I12.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"J15.MAA001632.3_56_F.1.1","Enterocyte 1"
"K19.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"M1.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"N4.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"O7.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"P10.MAA001632.3_56_F.1.1","Amplifying Cell"
"A10.MAA001632.3_56_F.1.1","Goblet Cell 2"
"B13.MAA001632.3_56_F.1.1","Enterocyte 1"
"A9.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"B12.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"C15.MAA001632.3_56_F.1.1","Enterocyte 1"
"D18.MAA001632.3_56_F.1.1","Enterocyte 1"
"F1.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"C16.MAA001632.3_56_F.1.1","Enterocyte 1"
"N5.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"O9.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"P11.MAA001632.3_56_F.1.1","Goblet Cell 2"
"A11.MAA001632.3_56_F.1.1","Amplifying Cell"
"B14.MAA001632.3_56_F.1.1","Enterocyte 1"
"C17.MAA001632.3_56_F.1.1","Enterocyte 1"
"D20.MAA001632.3_56_F.1.1","Enterocyte 1"
"F3.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"D19.MAA001632.3_56_F.1.1","Enterocyte 1"
"G5.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"H9.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"I14.MAA001632.3_56_F.1.1","Enterocyte 1"
"F2.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"G4.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"H8.MAA001632.3_56_F.1.1","Amplifying Cell"
"I13.MAA001632.3_56_F.1.1","Enterocyte 1"
"J16.MAA001632.3_56_F.1.1","Enterocyte 1"
"K20.MAA001632.3_56_F.1.1","Goblet Cell 2"
"M2.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"J17.MAA001632.3_56_F.1.1","Enterocyte 1"
"A12.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"B15.MAA001632.3_56_F.1.1","Enterocyte 1"
"C18.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"K21.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"E1.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"M3.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"N6.MAA001632.3_56_F.1.1","Goblet Cell 2"
"O10.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"P12.MAA001632.3_56_F.1.1","Goblet Cell 2"
"F4.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"N7.MAA001632.3_56_F.1.1","Enterocyte 1"
"G6.MAA001632.3_56_F.1.1","Amplifying Cell"
"O11.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"H10.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"I15.MAA001632.3_56_F.1.1","Enterocyte 1"
"J18.MAA001632.3_56_F.1.1","Enterocyte 1"
"K22.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"M4.MAA001632.3_56_F.1.1","Amplifying Cell"
"P13.MAA001632.3_56_F.1.1","Enterocyte 1"
"B16.MAA001632.3_56_F.1.1","Enterocyte 1"
"A13.MAA001632.3_56_F.1.1","Enterocyte 1"
"C20.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"G7.MAA001632.3_56_F.1.1","Amplifying Cell"
"E2.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"F5.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"H11.MAA001632.3_56_F.1.1","Cycling Undiff. Cell"
"L1.MAA001632.3_56_F.1.1","Goblet Cell 2"
"M5.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"I16.MAA001632.3_56_F.1.1","Enterocyte 1"
"J19.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"N8.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"A14.MAA001632.3_56_F.1.1","Enterocyte 1"
"B17.MAA001632.3_56_F.1.1","Enterocyte 1"
"O12.MAA001632.3_56_F.1.1","Amplifying Cell"
"P14.MAA001632.3_56_F.1.1","Enterocyte 1"
"C21.MAA001632.3_56_F.1.1","Goblet Cell 2"
"I17.MAA001632.3_56_F.1.1","Enterocyte 1"
"J21.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"L2.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"M6.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"E3.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"F6.MAA001632.3_56_F.1.1","Amplifying Cell"
"G8.MAA001632.3_56_F.1.1","Goblet Cell 2"
"H12.MAA001632.3_56_F.1.1","Non-Cycling Undiff. Cell"
"N10.MAA001632.3_56_F.1.1","Amplifying Cell"
"O13.MAA001632.3_56_F.1.1","Enterocyte 1"
"A22.MAA001869.3_38_F.1.1","Enterocyte 1"
"C6.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"C9.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"B3.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"C10.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"B4.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"C11.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"B6.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"C13.MAA001869.3_38_F.1.1","Enterocyte 1"
"B5.MAA001869.3_38_F.1.1","Amplifying Cell"
"C12.MAA001869.3_38_F.1.1","Goblet Cell 2"
"A1.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"B7.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"A2.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"B8.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"C16.MAA001869.3_38_F.1.1","Enterocyte 1"
"A3.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"B9.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"B10.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"C21.MAA001869.3_38_F.1.1","Enterocyte 1"
"A5.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"B11.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"C22.MAA001869.3_38_F.1.1","Enterocyte 1"
"A6.MAA001869.3_38_F.1.1","Cycling Undiff. Cell"
"B12.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"D2.MAA001869.3_38_F.1.1","Amplifying Cell"
"A7.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"B14.MAA001869.3_38_F.1.1","Enterocyte 1"
"A8.MAA001869.3_38_F.1.1","Goblet Cell 2"
"B15.MAA001869.3_38_F.1.1","Enterocyte 1"
"D5.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"A9.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"B17.MAA001869.3_38_F.1.1","Enterocyte 1"
"D7.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"A12.MAA001869.3_38_F.1.1","Amplifying Cell"
"B19.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"D8.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"A13.MAA001869.3_38_F.1.1","Enterocyte 1"
"B20.MAA001869.3_38_F.1.1","Enterocyte 1"
"A14.MAA001869.3_38_F.1.1","Enterocyte 1"
"B21.MAA001869.3_38_F.1.1","Chromaffin Cell"
"A15.MAA001869.3_38_F.1.1","Enterocyte 1"
"B22.MAA001869.3_38_F.1.1","Enterocyte 1"
"D12.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"A16.MAA001869.3_38_F.1.1","Enterocyte 1"
"C2.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"A18.MAA001869.3_38_F.1.1","Enterocyte 1"
"A19.MAA001869.3_38_F.1.1","Tuft Cell"
"C4.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"A20.MAA001869.3_38_F.1.1","Enterocyte 1"
"C5.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"F4.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"G9.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"H18.MAA001869.3_38_F.1.1","Tuft Cell"
"K9.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"L16.MAA001869.3_38_F.1.1","Enterocyte 1"
"D14.MAA001869.3_38_F.1.1","Enterocyte 1"
"O9.MAA001869.3_38_F.1.1","Goblet Cell 2"
"F5.MAA001869.3_38_F.1.1","Amplifying Cell"
"G10.MAA001869.3_38_F.1.1","Cycling Undiff. Cell"
"H22.MAA001869.3_38_F.1.1","Enterocyte 1"
"J5.MAA001869.3_38_F.1.1","Amplifying Cell"
"D15.MAA001869.3_38_F.1.1","Enterocyte 1"
"F6.MAA001869.3_38_F.1.1","Cycling Undiff. Cell"
"G11.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"I2.MAA001869.3_38_F.1.1","Goblet Cell 2"
"J6.MAA001869.3_38_F.1.1","Goblet Cell 2"
"K10.MAA001869.3_38_F.1.1","Goblet Cell 2"
"K11.MAA001869.3_38_F.1.1","Goblet Cell 2"
"L19.MAA001869.3_38_F.1.1","Tuft Cell"
"N4.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"L17.MAA001869.3_38_F.1.1","Enterocyte 1"
"N3.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"O10.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"O11.MAA001869.3_38_F.1.1","Amplifying Cell"
"D16.MAA001869.3_38_F.1.1","Enterocyte 1"
"F8.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"G13.MAA001869.3_38_F.1.1","Enterocyte 1"
"I3.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"J7.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"K12.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"L20.MAA001869.3_38_F.1.1","Enterocyte 1"
"P13.MAA001869.3_38_F.1.1","Enterocyte 1"
"N5.MAA001869.3_38_F.1.1","Enterocyte 1"
"O12.MAA001869.3_38_F.1.1","Goblet Cell 2"
"P14.MAA001869.3_38_F.1.1","Enterocyte 1"
"F9.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"G14.MAA001869.3_38_F.1.1","Enterocyte 1"
"I4.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"J8.MAA001869.3_38_F.1.1","Non-Cycling Undiff. Cell"
"K13.MAA001869.3_38_F.1.1","Enterocyte 1"
"L21.MAA001869.3_38_F.1.1","Enterocyte 1"
"N6.MAA001869.3_38_F.1.1","Enterocyte 1"
"O13.MAA001869.3_38_F.1.1","Enterocyte 1"
"D18.MAA001869.3_38_F.1.1","Enterocyte 1"
"F10.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"G15.MAA001869.3_38_F.1.1","Enterocyte 1"
"I5.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"J10.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"K15.MAA001869.3_38_F.1.1","Enterocyte 1"
"L22.MAA001869.3_38_F.1.1","Enterocyte 1"
"N7.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"O14.MAA001869.3_38_F.1.1","Enterocyte 1"
"P15.MAA001869.3_38_F.1.1","Enterocyte 1"
